Date/Time,Power Produced (W)
2019-04-04 22:10:00 +0530,0
2019-04-04 22:15:00 +0530,0
2019-04-04 22:20:00 +0530,0
2019-04-04 22:25:00 +0530,0
2019-04-04 22:30:00 +0530,0
2019-04-04 22:35:00 +0530,0
2019-04-04 22:40:00 +0530,0
2019-04-04 22:45:00 +0530,0
2019-04-04 22:50:00 +0530,0
2019-04-04 22:55:00 +0530,0
2019-04-04 23:00:00 +0530,0
2019-04-04 23:05:00 +0530,0
2019-04-04 23:10:00 +0530,0
2019-04-04 23:15:00 +0530,0
2019-04-04 23:20:00 +0530,0
2019-04-04 23:25:00 +0530,0
2019-04-04 23:30:00 +0530,0
2019-04-04 23:35:00 +0530,0
2019-04-04 23:40:00 +0530,0
2019-04-04 23:45:00 +0530,0
2019-04-04 23:50:00 +0530,0
2019-04-04 23:55:00 +0530,0
2019-04-05 00:00:00 +0530,0
2019-04-05 00:05:00 +0530,0
2019-04-05 00:10:00 +0530,0
2019-04-05 00:15:00 +0530,0
2019-04-05 00:20:00 +0530,0
2019-04-05 00:25:00 +0530,0
2019-04-05 00:30:00 +0530,0
2019-04-05 00:35:00 +0530,0
2019-04-05 00:40:00 +0530,0
2019-04-05 00:45:00 +0530,0
2019-04-05 00:50:00 +0530,0
2019-04-05 00:55:00 +0530,0
2019-04-05 01:00:00 +0530,0
2019-04-05 01:05:00 +0530,0
2019-04-05 01:10:00 +0530,0
2019-04-05 01:15:00 +0530,0
2019-04-05 01:20:00 +0530,0
2019-04-05 01:25:00 +0530,0
2019-04-05 01:30:00 +0530,0
2019-04-05 01:35:00 +0530,0
2019-04-05 01:40:00 +0530,0
2019-04-05 01:45:00 +0530,0
2019-04-05 01:50:00 +0530,0
2019-04-05 01:55:00 +0530,0
2019-04-05 02:00:00 +0530,0
2019-04-05 02:05:00 +0530,0
2019-04-05 02:10:00 +0530,0
2019-04-05 02:15:00 +0530,0
2019-04-05 02:20:00 +0530,0
2019-04-05 02:25:00 +0530,0
2019-04-05 02:30:00 +0530,0
2019-04-05 02:35:00 +0530,0
2019-04-05 02:40:00 +0530,0
2019-04-05 02:45:00 +0530,0
2019-04-05 02:50:00 +0530,0
2019-04-05 02:55:00 +0530,0
2019-04-05 03:00:00 +0530,0
2019-04-05 03:05:00 +0530,0
2019-04-05 03:10:00 +0530,0
2019-04-05 03:15:00 +0530,0
2019-04-05 03:20:00 +0530,0
2019-04-05 03:25:00 +0530,0
2019-04-05 03:30:00 +0530,0
2019-04-05 03:35:00 +0530,0
2019-04-05 03:40:00 +0530,0
2019-04-05 03:45:00 +0530,0
2019-04-05 03:50:00 +0530,0
2019-04-05 03:55:00 +0530,0
2019-04-05 04:00:00 +0530,0
2019-04-05 04:05:00 +0530,0
2019-04-05 04:10:00 +0530,0
2019-04-05 04:15:00 +0530,0
2019-04-05 04:20:00 +0530,0
2019-04-05 04:25:00 +0530,0
2019-04-05 04:30:00 +0530,0
2019-04-05 04:35:00 +0530,0
2019-04-05 04:40:00 +0530,0
2019-04-05 04:45:00 +0530,0
2019-04-05 04:50:00 +0530,0
2019-04-05 04:55:00 +0530,0
2019-04-05 05:00:00 +0530,0
2019-04-05 05:05:00 +0530,0
2019-04-05 05:10:00 +0530,0
2019-04-05 05:15:00 +0530,0
2019-04-05 05:20:00 +0530,0
2019-04-05 05:25:00 +0530,0
2019-04-05 05:30:00 +0530,0
2019-04-05 05:35:00 +0530,0
2019-04-05 05:40:00 +0530,0
2019-04-05 05:45:00 +0530,0
2019-04-05 05:50:00 +0530,0
2019-04-05 05:55:00 +0530,0
2019-04-05 06:00:00 +0530,0
